ASV_withDuplication	Project	project_readfile_id	project_sample_id	sample	Morphpspecies_Image	Image_Family	Image_Subfamily	Edited_subfamily	Site_ID	Site	Collection_method	Collection_year	Country	MMG_match	MMG_similarity	ASV_presence	MMG_presence
6KP385	6K_project	6K_BIP01_B07	BIBC_BIP01_B07		MS19	Staphylinidae	Staphylininae	#N/A	PB	Poring	MALAISE	2013	Malaysia	BIOD00637	100	#N/A	Y
6KP129	6K_project	6K_BIP01_D04	BIBC_BIP01_D04		MS40	Staphylinidae	Aleocharinae	#N/A	PB	Poring	MALAISE	2013	Malaysia	BIOD09323	99.761	Y	#N/A
6KP334	6K_project	6K_BIP01_E01	BIBC_BIP01_E01		MS49	Staphylinidae	Scaphidiinae	#N/A	PB	Poring	MALAISE	2013	Malaysia	BIOD00650	100	#N/A	Y
6KP597	6K_project	6K_BIP01_F11	BIBC_BIP01_F11		MS71	Staphylinidae	Oxytelinae	#N/A	PB	Poring	MALAISE	2013	Malaysia	BIOD09212	99.761	Y	#N/A
6KP16	6K_project	6K_BIP01_F12	BIBC_BIP01_F12		MS72	Staphylinidae	Aleocharinae	#N/A	PB	Poring	MALAISE	2013	Malaysia	BIOD00502	100	#N/A	Y
6KP175	6K_project	6K_BIP01_G12	BIBC_BIP01_G12		MS84	Staphylinidae	Aleocharinae	#N/A	PB	Poring	MALAISE	2013	Malaysia	BIOD02339	100	#N/A	Y
6KP1342	6K_project	6K_BIP01_H02	BIBC_BIP01_H02		MS86	Staphylinidae	Aleocharinae	#N/A	PB	Poring	MALAISE	2013	Malaysia	BIOD00674	98.565	Y	Y
6KP53	6K_project	6K_BIP02_A01	BIBC_BIP02_A01		MS97	Staphylinidae	Aleocharinae	#N/A	PB	Poring	MALAISE	2013	Malaysia	BIOD02156	100	#N/A	Y
6KP527	6K_project	6K_BIP02_C07	BIBC_BIP02_C07		MS127	Staphylinidae	Aleocharinae	#N/A	PC	Poring	MALAISE	2013	Malaysia	BIOD09323	97.129	Y	#N/A
6KP95	6K_project	6K_BIP02_C09	BIBC_BIP02_C09		MS129	Staphylinidae	Aleocharinae	#N/A	PC	Poring	MALAISE	2013	Malaysia	BIOD00765	100	#N/A	Y
6KP875	6K_project	6K_BIP02_C10	BIBC_BIP02_C10		MS130	Staphylinidae	Scaphidiinae	#N/A	PC	Poring	MALAISE	2013	Malaysia	BIOD01220	100	#N/A	Y
6KP167	6K_project	6K_BIP02_D08	BIBC_BIP02_D08		MS140	Staphylinidae	Aleocharinae	#N/A	PC	Poring	MALAISE	2013	Malaysia	BIOD02767	100	#N/A	Y
6KP896	6K_project	6K_BIP02_A09	BIBC_BIP02_A09		MS105	Staphylinidae	Staphylininae	#N/A	PA	Poring	MALAISE	2013	Malaysia			Y	#N/A
6KP3149	6K_project	6K_BIP03_E05	BIBC_BIP03_E05		MS245	Staphylinidae	Paederinae	#N/A	PB	Poring	BEATING	2013	Malaysia	BIOD02671	100	#N/A	Y
6KP1575	6K_project	6K_BIP03_E06	BIBC_BIP03_E06		MS246	Staphylinidae	Aleocharinae	#N/A	PB	Poring	BEATING	2013	Malaysia	BIOD02685	98.325	Y	Y
6KP535	6K_project	6K_BIP03_G08	BIBC_BIP03_G08		MS272	Staphylinidae	Paederinae	#N/A	PB	Poring	BEATING	2013	Malaysia	BIOD04792	96.172	Y	#N/A
6KP4351	6K_project	6K_BIP03_G09	BIBC_BIP03_G09		MS273	Staphylinidae	Pselaphinae	#N/A	PB	Poring	BEATING	2013	Malaysia	BIOD02970	100	Y	#N/A
6KP1415	6K_project	6K_BIP03_G11	BIBC_BIP03_G11		MS275	Staphylinidae	Aleocharinae	#N/A	PB	Poring	BEATING	2013	Malaysia	BIOD02871	100	#N/A	Y
6KP2834	6K_project	6K_BIP03_H01	BIBC_BIP03_H01		MS277	Staphylinidae	Pselaphinae	#N/A	PB	Poring	BEATING	2013	Malaysia	BIOD00486	100	#N/A	Y
6KP801	6K_project	6K_BIP03_G12	BIBC_BIP03_G12		MS276	Staphylinidae	Pselaphinae	#N/A	PB	Poring	BEATING	2013	Malaysia			Y	#N/A
6KP628	6K_project	6K_BIP05_F05	BIBC_BIP05_F05		MS449	Staphylinidae	Aleocharinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD09047	100	Y	#N/A
6KP16	6K_project	6K_BIP05_F06	BIBC_BIP05_F06		MS450	Staphylinidae	Aleocharinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD00502	100	#N/A	Y
6KP368	6K_project	6K_BIP05_F07	BIBC_BIP05_F07		MS451	Staphylinidae	Aleocharinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD00807	100	#N/A	Y
6KP2540	6K_project	6K_BIP05_F08	BIBC_BIP05_F08		MS452	Staphylinidae	Aleocharinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD01719	100	#N/A	Y
6KP368	6K_project	6K_BIP05_F10	BIBC_BIP05_F10		MS454	Staphylinidae	Aleocharinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD00807	100	#N/A	Y
6KP979	6K_project	6K_BIP05_F11	BIBC_BIP05_F11		MS455	Staphylinidae	Aleocharinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD00790	100	#N/A	Y
6KP2056	6K_project	6K_BIP05_F12	BIBC_BIP05_F12		MS456	Staphylinidae	Aleocharinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD02869	100	#N/A	Y
6KP535	6K_project	6K_BIP05_G01	BIBC_BIP05_G01		MS457	Staphylinidae	Paederinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD04792	96.172	Y	#N/A
6KP3640	6K_project	6K_BIP05_H08	BIBC_BIP05_H08		MS476	Staphylinidae	Paederinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD00836	100	#N/A	Y
6KP3521	6K_project	6K_BIP05_G02	BIBC_BIP05_G02		MS458	Staphylinidae	Osorinae	#N/A	PA	Poring	BEATING	2013	Malaysia			Y	#N/A
6KP2509	6K_project	6K_BIP06_A10	BIBC_BIP06_A10		MS490	Staphylinidae	Aleocharinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD00241	100	#N/A	Y
6KP1363	6K_project	6K_BIP06_B03	BIBC_BIP06_B03		MS495	Staphylinidae	Scaphidiinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD01605	100	#N/A	Y
6KP1509	6K_project	6K_BIP06_F06	BIBC_BIP06_F06		MS546	Staphylinidae	Osorinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD00448	100	Y	#N/A
6KP431	6K_project	6K_BIP06_F12	BIBC_BIP06_F12		MS552	Staphylinidae	Scaphidiinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD00065	100	#N/A	Y
6KP1210	6K_project	6K_BIP06_H01	BIBC_BIP06_H01		MS565	Staphylinidae	Aleocharinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD02364	100	#N/A	Y
6KP643	6K_project	6K_BIP06_H05	BIBC_BIP06_H05		MS569	Staphylinidae	Pselaphinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD02444	100	#N/A	Y
6KP3821	6K_project	6K_BIP06_H06	BIBC_BIP06_H06		MS570	Staphylinidae	Pselaphinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD00841	100	#N/A	Y
6KP3499	6K_project	6K_BIP06_H08	BIBC_BIP06_H08		MS572	Staphylinidae	Aleocharinae	#N/A	PA	Poring	BEATING	2013	Malaysia	BIOD03057	100	#N/A	Y
6KP2221	6K_project	6K_BIP06_F10	BIBC_BIP06_F10		MS550	Staphylinidae	Tachyporinae	#N/A	PA	Poring	BEATING	2013	Malaysia			Y	#N/A
6KP1857	6K_project	6K_BIP06_G11	BIBC_BIP06_G11		MS563	Staphylinidae	Scydmaeninae	#N/A	PA	Poring	BEATING	2013	Malaysia			Y	#N/A
6KP2373	6K_project	6K_BIP06_H02	BIBC_BIP06_H02		MS566	Staphylinidae	Tachyporinae	#N/A	PA	Poring	BEATING	2013	Malaysia			Y	#N/A
6KP2467	6K_project	6K_BIP06_H04	BIBC_BIP06_H04		MS568	Staphylinidae	Pselaphinae	#N/A	PA	Poring	BEATING	2013	Malaysia			Y	#N/A
6KP2783	6K_project	6K_BIP06_H09	BIBC_BIP06_H09		MS573	Staphylinidae	Aleocharinae	#N/A	PA	Poring	BEATING	2013	Malaysia			Y	#N/A
6KP1007	6K_project	6K_BIP07_G04	BIBC_BIP07_G04		MS652	Staphylinidae	Tachyporinae	#N/A	PC	Poring	BEATING	2013	Malaysia	BIOD00368	99.522	Y	Y
6KP1181	6K_project	6K_BIP07_G05	BIBC_BIP07_G05		MS653	Staphylinidae	Tachyporinae	#N/A	PC	Poring	BEATING	2013	Malaysia	BIOD00368	98.804	Y	Y
6KP1094	6K_project	6K_BIP07_H04	BIBC_BIP07_H04		MS664	Staphylinidae	Tachyporinae	#N/A	PC	Poring	BEATING	2013	Malaysia	BIOD00368	99.522	Y	Y
6KP699	6K_project	6K_BIP07_H07	BIBC_BIP07_H07		MS667	Staphylinidae	Tachyporinae	#N/A	PC	Poring	BEATING	2013	Malaysia	BIOD00368	99.522	Y	Y
