Mitogenomes	sample	Morphpspecies_Image	Image_Family	Image_Subfamily	Site_ID	Site	Collection_method	Collection_year	Country
BIOD00043	BIBC_BIP15_C07	MS1375	Staphylinidae	Paederinae	PD	Poring	PITFALL		Malaysia
BIOD02124	BIBC_BIP17_F04	MS1600	Staphylinidae	Paederinae	PB	Poring	FIT2		Malaysia
BIOD00258	BIBC_BIP27_G01	MS2571	Staphylinidae	Staphylininae	PD	Poring	FIT2		Malaysia
BIOD02762	BIBC_BIP10_A01	MS865	Leiodidae	Leiodinae	PD	Poring	BEATING		Malaysia
BIOD02763	BIBC_BIP23_A12	MS2126	Staphylinidae		PA	Poring	FIT1		Malaysia
BIOD02764	BIBC_BIP23_B01	MS2127	Staphylinidae	Scaphidiinae	PA	Poring	FIT1		Malaysia
BIOD02767	BIBC_BIP02_D08	MS140	Staphylinidae	Aleocharinae	PC	Poring	MALAISE		Malaysia
BIOD02770	BIBC_BIP26_H03	MS2489	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD02773	BIBC_BIP27_C05	MS2527	Staphylinidae	Pselaphinae	PC	Poring	FIT1		Malaysia
BIOD02774	BIBC_BIP27_D01	MS2535	Leiodidae		PC	Poring	FIT1		Malaysia
BIOD02775	BIBC_BIP19_G08	MS1808	Ptiliidae		PB	Poring	FIT2		Malaysia
BIOD02777	BIBC_BIP29_A05	MS2695	Staphylinidae	Proteininae	PD	Poring	FIT2		Malaysia
BIOD02778	BIBC_BIP29_C06	MS2720	Leiodidae		PD	Poring	FIT2		Malaysia
BIOD02779	BIBC_BIP29_C09	MS2723	Staphylinidae	Aleocharinae	PD	Poring	FIT2		Malaysia
BIOD02780	BIBC_BIP14_A11	MS1259	Staphylinidae	Pselaphinae	PA	Poring	WINKLER		Malaysia
BIOD02806	BIBC_SOP1_B02	Aleoch3	Staphylinidae	Aleocharinae		Danum Valley			Malaysia
BIOD02869	BIBC_BIP05_F12	MS456	Staphylinidae	Aleocharinae	PA	Poring	BEATING		Malaysia
BIOD02872	BIBC_BIP10_A12	MS876	Staphylinidae		PD	Poring	BEATING		Malaysia
BIOD02877	BIBC_BIP19_F02	MS1790	Staphylinidae	Pselaphinae	PB	Poring	FIT2		Malaysia
BIOD02884	BIBC_BIP14_F08	MS1316	Staphylinidae	Oxytelinae	PA	Poring	WINKLER		Malaysia
BIOD02885	BIBC_BIP14_G01	MS1321	Staphylinidae	Pselaphinae	PA	Poring	WINKLER		Malaysia
BIOD02887	BIBC_BIP12_B01	MS1069	Staphylinidae		PB	Poring	WINKLER		Malaysia
BIOD02888	BIBC_BIP12_E12	MS1116	Leiodidae	Leiodinae	PC	Poring	WINKLER		Malaysia
BIOD02909	BIBC_SOP1_G08	Paed10	Staphylinidae	Paederinae		Danum Valley			Malaysia
BIOD02973	BIBC_BIP23_B08	MS2134	Staphylinidae	Aleocharinae	PA	Poring	FIT1		Malaysia
BIOD02974	BIBC_BIP25_A01	MS2307	Histeridae		PC	Poring	FIT1		Malaysia
